Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-03T23:50:07+01:00;2021-03-03T23:50:18+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T23:37:01+01:00;2021-03-03T23:37:20+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:29:05+01:00;2021-03-03T23:29:24+01:00;Applicable
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-04T00:08:55+01:00;2021-03-04T00:09:06+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-03T23:50:31+01:00;2021-03-03T23:50:50+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:33:35+01:00;2021-03-03T23:33:54+01:00;Applicable
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-04T00:13:41+01:00;2021-03-04T00:13:52+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-04T00:13:49+01:00;2021-03-04T00:14:08+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:51:35+01:00;2021-03-03T23:51:54+01:00;Applicable
1001;a;1;J.F. Kennedy;5027;Italie;48.086598,-1.667741;2021-03-04T00:27:49+01:00;2021-03-04T00:28:00+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-04T00:18:35+01:00;2021-03-04T00:18:54+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-03T23:56:05+01:00;2021-03-03T23:56:24+01:00;Applicable
1001;a;1;J.F. Kennedy;5028;Triangle;48.086477,-1.660654;2021-03-03T22:46:02+01:00;2021-03-03T22:46:13+01:00;Applicable
1001;a;1;J.F. Kennedy;5023;Gares;48.103875,-1.672183;2021-03-04T00:37:13+01:00;2021-03-04T00:37:32+01:00;Applicable
1001;a;1;J.F. Kennedy;5022;Charles de Gaulle;48.105541,-1.677023;2021-03-04T00:00:35+01:00;2021-03-04T00:00:54+01:00;Applicable
